CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUST_ID,AGE,GENERATION
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5179762243750830,,10003,27,Gen_Y
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5151795581583080,,10003,27,Gen_Y
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5172170955593510,,10003,27,Gen_Y
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5159253292458630,,10003,27,Gen_Y
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5139426156817490,,10003,27,Gen_Y
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,U.S.,22867928,5121842087536750,,10003,27,Gen_Y
Anthony Whitney     ,Mr.,518 Highland    View      Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,IT,NXFXLA90D69D741G,4469933134773780,,10007,NA,Gen_Z
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,FR,1.48E+14,4662808713742930,,10015,60,Baby_Boomers
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,FR,1.48E+14,4016647581929580,,10015,60,Baby_Boomers
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,FR,1.48E+14,4563884292028570,,10015,60,Baby_Boomers
